序号,学校名称
1,北京大学
2,中国人民大学
3,清华大学
4,北京交通大学
5,北京工业大学
6,北京航空航天大学
7,北京理工大学
8,北京科技大学
9,北方工业大学
10,北京化工大学
11,北京工商大学
12,北京服装学院
13,北京邮电大学
14,北京印刷学院
15,北京建筑大学
16,北京石油化工学院
17,北京电子科技学院
18,中国农业大学
19,北京农学院
20,北京林业大学
21,北京协和医学院
22,首都医科大学
23,北京中医药大学
24,北京师范大学
25,首都师范大学
26,首都体育学院
27,北京外国语大学
28,北京第二外国语学院
29,北京语言大学
30,中国传媒大学
31,中央财经大学
32,对外经济贸易大学
33,北京物资学院
34,首都经济贸易大学
35,中国消防救援学院
36,外交学院
37,中国人民公安大学
38,国际关系学院
39,北京体育大学
40,中央音乐学院
41,中国音乐学院
42,中央美术学院
43,中央戏剧学院
44,中国戏曲学院
45,北京电影学院
46,北京舞蹈学院
47,中央民族大学
48,中国政法大学
49,华北电力大学
50,中华女子学院
51,北京信息科技大学
52,中国矿业大学（北京）
53,中国石油大学（北京）
54,中国地质大学（北京）
55,北京联合大学
56,北京城市学院
57,中国青年政治学院
58,首钢工学院
59,中国劳动关系学院
60,首都师范大学科德学院
61,北京工商大学嘉华学院
62,北京邮电大学世纪学院
63,北京工业大学耿丹学院
64,北京警察学院
65,北京第二外国语学院中瑞酒店管理学院
66,中国科学院大学
67,中国社会科学院大学
68,北京工业职业技术学院
69,北京信息职业技术学院
70,北京电子科技职业学院
71,北京京北职业技术学院
72,北京交通职业技术学院
73,北京青年政治学院
74,北京农业职业学院
75,北京政法职业学院
76,北京财贸职业学院
77,北京北大方正软件职业技术学院
78,北京经贸职业学院
79,北京经济技术职业学院
80,北京戏曲艺术职业学院
81,北京汇佳职业学院
82,北京科技经营管理学院
83,北京科技职业学院
84,北京培黎职业学院
85,北京经济管理职业学院
86,北京劳动保障职业学院
87,北京社会管理职业学院
88,北京艺术传媒职业学院
89,北京体育职业学院
90,北京交通运输职业学院
91,北京卫生职业学院
92,北京网络职业学院
93,南开大学
94,天津大学
95,天津科技大学
96,天津工业大学
97,中国民航大学
98,天津理工大学
99,天津农学院
100,天津医科大学
101,天津中医药大学
102,天津师范大学
103,天津职业技术师范大学
104,天津外国语大学
105,天津商业大学
106,天津财经大学
107,天津体育学院
108,天津音乐学院
109,天津美术学院
110,天津城建大学
111,天津天狮学院
112,天津中德应用技术大学
113,天津外国语大学滨海外事学院
114,天津传媒学院
115,天津商业大学宝德学院
116,天津医科大学临床医学院
117,南开大学滨海学院
118,天津师范大学津沽学院
119,天津理工大学中环信息学院
120,北京科技大学天津学院
121,天津仁爱学院
122,天津财经大学珠江学院
123,天津市职业大学
124,天津滨海职业学院
125,天津工程职业技术学院
126,天津渤海职业技术学院
127,天津电子信息职业技术学院
128,天津机电职业技术学院
129,天津现代职业技术学院
130,天津公安警官职业学院
131,天津轻工职业技术学院
132,天津商务职业学院
133,天津国土资源和房屋职业学院
134,天津医学高等专科学校
135,天津开发区职业技术学院
136,天津艺术职业学院
137,天津交通职业学院
138,天津工业职业学院
139,天津石油职业技术学院
140,天津城市职业学院
141,天津铁道职业技术学院
142,天津工艺美术职业学院
143,天津城市建设管理职业技术学院
144,天津生物工程职业技术学院
145,天津海运职业学院
146,天津广播影视职业学院
147,天津体育职业学院
148,天津滨海汽车工程职业学院
149,河北大学
150,河北工程大学
151,河北地质大学
152,河北工业大学
153,华北理工大学
154,河北科技大学
155,河北建筑工程学院
156,河北水利电力学院
157,河北农业大学
158,河北医科大学
159,河北北方学院
160,承德医学院
161,河北师范大学
162,保定学院
163,河北民族师范学院
164,唐山师范学院
165,廊坊师范学院
166,衡水学院
167,石家庄学院
168,邯郸学院
169,邢台学院
170,沧州师范学院
171,石家庄铁道大学
172,燕山大学
173,河北科技师范学院
174,唐山学院
175,华北科技学院
176,中国人民警察大学
177,河北体育学院
178,河北金融学院
179,北华航天工业学院
180,防灾科技学院
181,河北经贸大学
182,中央司法警官学院
183,河北传媒学院
184,河北工程技术学院
185,河北美术学院
186,河北科技学院
187,河北外国语学院
188,河北大学工商学院
189,华北理工大学轻工学院
190,河北工业职业技术大学
191,河北师范大学汇华学院
192,河北经贸大学经济管理学院
193,河北医科大学临床学院
194,河北科技工程职业技术大学
195,河北工程大学科信学院
196,河北石油职业技术大学
197,燕山大学里仁学院
198,石家庄铁道大学四方学院
199,河北地质大学华信学院
200,河北农业大学现代科技学院
201,华北理工大学冀唐学院
202,保定理工学院
203,燕京理工学院
204,北京中医药大学东方学院
205,沧州交通学院
206,河北东方学院
207,河北中医学院
208,张家口学院
209,河北环境工程学院
210,邯郸职业技术学院
211,石家庄职业技术学院
212,张家口职业技术学院
213,河北软件职业技术学院
214,河北石油职业技术学院
215,河北建材职业技术学院
216,河北政法职业学院
217,沧州职业技术学院
218,河北能源职业技术学院
219,石家庄铁路职业技术学院
220,保定职业技术学院
221,秦皇岛职业技术学院
222,石家庄工程职业学院
223,石家庄城市经济职业学院
224,唐山职业技术学院
225,衡水职业技术学院
226,唐山工业职业技术学院
227,邢台医学高等专科学校
228,河北艺术职业学院
229,河北旅游职业学院
230,石家庄财经职业学院
231,河北交通职业技术学院
232,河北化工医药职业技术学院
233,石家庄信息工程职业学院
234,河北对外经贸职业学院
235,保定电力职业技术学院
236,河北机电职业技术学院
237,渤海石油职业学院
238,廊坊职业技术学院
239,唐山科技职业技术学院
240,石家庄邮电职业技术学院
241,河北公安警察职业学院
242,石家庄工商职业学院
243,石家庄理工职业学院
244,石家庄科技信息职业学院
245,河北司法警官职业学院
246,沧州医学高等专科学校
247,河北女子职业技术学院
248,石家庄医学高等专科学校
249,石家庄经济职业学院
250,冀中职业学院
251,石家庄人民医学高等专科学校
252,河北正定师范高等专科学校
253,河北劳动关系职业学院
254,石家庄科技职业学院
255,沧州幼儿师范高等专科学校
256,宣化科技职业学院
257,廊坊燕京职业技术学院
258,承德护理职业学院
259,石家庄幼儿师范高等专科学校
260,廊坊卫生职业学院
261,河北轨道运输职业技术学院
262,保定幼儿师范高等专科学校
263,河北工艺美术职业学院
264,渤海理工职业学院
265,唐山幼儿师范高等专科学校
266,曹妃甸职业技术学院
267,承德应用技术职业学院
268,邯郸幼儿师范高等专科学校
269,邯郸科技职业学院
270,唐山海运职业学院
271,邢台应用技术职业学院
272,山西大学
273,太原科技大学
274,中北大学
275,太原理工大学
276,山西农业大学
277,山西医科大学
278,长治医学院
279,山西师范大学
280,太原师范学院
281,山西大同大学
282,晋中学院
283,长治学院
284,运城学院
285,忻州师范学院
286,山西财经大学
287,山西中医药大学
288,吕梁学院
289,太原学院
290,山西警察学院
291,山西应用科技学院
292,山西工程科技职业大学
293,山西工学院
294,晋中信息学院
295,山西师范大学现代文理学院
296,山西晋中理工学院
297,山西科技学院
298,山西医科大学晋祠学院
299,山西财经大学华商学院
300,山西工商学院
301,太原工业学院
302,运城职业技术大学
303,山西传媒学院
304,山西工程技术学院
305,山西能源学院
306,山西省财政税务专科学校
307,长治职业技术学院
308,山西艺术职业学院
309,晋城职业技术学院
310,山西药科职业学院
311,大同煤炭职业技术学院
312,山西机电职业技术学院
313,山西财贸职业技术学院
314,山西林业职业技术学院
315,山西水利职业技术学院
316,阳泉职业技术学院
317,临汾职业技术学院
318,山西职业技术学院
319,山西金融职业学院
320,太原城市职业技术学院
321,山西信息职业技术学院
322,山西体育职业学院
323,山西警官职业学院
324,山西国际商务职业学院
325,潞安职业技术学院
326,太原旅游职业学院
327,山西旅游职业学院
328,山西管理职业学院
329,山西电力职业技术学院
330,忻州职业技术学院
331,山西同文职业技术学院
332,晋中职业技术学院
333,山西华澳商贸职业学院
334,山西运城农业职业技术学院
335,运城幼儿师范高等专科学校
336,山西老区职业技术学院
337,山西经贸职业学院
338,朔州职业技术学院
339,山西铁道职业技术学院
340,晋中师范高等专科学校
341,阳泉师范高等专科学校
342,山西青年职业学院
343,运城护理职业学院
344,运城师范高等专科学校
345,朔州师范高等专科学校
346,吕梁职业技术学院
347,大同师范高等专科学校
348,太原幼儿师范高等专科学校
349,山西工程职业学院
350,长治幼儿师范高等专科学校
351,山西通用航空职业技术学院
352,朔州陶瓷职业技术学院
353,山西卫生健康职业学院
354,内蒙古大学
355,内蒙古科技大学
356,内蒙古工业大学
357,内蒙古农业大学
358,内蒙古医科大学
359,内蒙古师范大学
360,内蒙古民族大学
361,赤峰学院
362,内蒙古财经大学
363,呼伦贝尔学院
364,集宁师范学院
365,河套学院
366,呼和浩特民族学院
367,内蒙古大学创业学院
368,内蒙古鸿德文理学院
369,内蒙古艺术学院
370,鄂尔多斯应用技术学院
371,内蒙古建筑职业技术学院
372,内蒙古丰州职业学院
373,包头职业技术学院
374,兴安职业技术学院
375,呼和浩特职业学院
376,包头轻工职业技术学院
377,内蒙古电子信息职业技术学院
378,内蒙古机电职业技术学院
379,内蒙古化工职业学院
380,内蒙古商贸职业学院
381,锡林郭勒职业学院
382,内蒙古警察职业学院
383,内蒙古体育职业学院
384,乌兰察布职业学院
385,通辽职业学院
386,科尔沁艺术职业学院
387,内蒙古交通职业技术学院
388,包头钢铁职业技术学院
389,乌海职业技术学院
390,内蒙古科技职业学院
391,内蒙古北方职业技术学院
392,赤峰职业技术学院
393,内蒙古经贸外语职业学院
394,包头铁道职业技术学院
395,乌兰察布医学高等专科学校
396,鄂尔多斯职业学院
397,内蒙古工业职业学院
398,呼伦贝尔职业技术学院
399,满洲里俄语职业学院
400,内蒙古能源职业学院
401,赤峰工业职业技术学院
402,阿拉善职业技术学院
403,内蒙古美术职业学院
404,内蒙古民族幼儿师范高等专科学校
405,鄂尔多斯生态环境职业学院
406,扎兰屯职业学院
407,赤峰应用技术职业学院
408,辽宁大学
409,大连理工大学
410,沈阳工业大学
411,沈阳航空航天大学
412,沈阳理工大学
413,东北大学
414,辽宁科技大学
415,辽宁工程技术大学
416,辽宁石油化工大学
417,沈阳化工大学
418,大连交通大学
419,大连海事大学
420,大连工业大学
421,沈阳建筑大学
422,辽宁工业大学
423,沈阳农业大学
424,大连海洋大学
425,中国医科大学
426,锦州医科大学
427,大连医科大学
428,辽宁中医药大学
429,沈阳药科大学
430,沈阳医学院
431,辽宁师范大学
432,沈阳师范大学
433,渤海大学
434,鞍山师范学院
435,大连外国语大学
436,东北财经大学
437,中国刑事警察学院
438,沈阳体育学院
439,沈阳音乐学院
440,鲁迅美术学院
441,辽宁对外经贸学院
442,沈阳大学
443,大连大学
444,辽宁科技学院
445,辽宁警察学院
446,沈阳工程学院
447,辽东学院
448,大连民族大学
449,辽宁理工职业大学
450,大连理工大学城市学院
451,沈阳工业大学工程学院
452,沈阳航空航天大学北方科技学院
453,沈阳工学院
454,大连工业大学艺术与信息工程学院
455,大连科技学院
456,沈阳城市建设学院
457,大连医科大学中山学院
458,锦州医科大学医疗学院
459,辽宁师范大学海华学院
460,辽宁理工学院
461,大连财经学院
462,沈阳城市学院
463,大连艺术学院
464,辽宁中医药大学杏林学院
465,辽宁何氏医学院
466,沈阳科技学院
467,大连东软信息学院
468,辽宁财贸学院
469,辽宁传媒学院
470,营口理工学院
471,朝阳师范高等专科学校
472,抚顺师范高等专科学校
473,锦州师范高等专科学校
474,营口职业技术学院
475,铁岭师范高等专科学校
476,大连职业技术学院
477,辽宁农业职业技术学院
478,抚顺职业技术学院
479,辽阳职业技术学院
480,阜新高等专科学校
481,辽宁省交通高等专科学校
482,辽宁税务高等专科学校
483,盘锦职业技术学院
484,沈阳航空职业技术学院
485,辽宁体育运动职业技术学院
486,辽宁职业学院
487,辽宁生态工程职业学院
488,沈阳职业技术学院
489,大连商务职业学院
490,辽宁金融职业学院
491,辽宁轨道交通职业学院
492,辽宁广告职业学院
493,辽宁机电职业技术学院
494,辽宁经济职业技术学院
495,辽宁石化职业技术学院
496,渤海船舶职业学院 
497,大连软件职业学院
498,大连翻译职业学院
499,辽宁商贸职业学院
500,大连枫叶职业技术学院
501,辽宁装备制造职业技术学院
502,辽河石油职业技术学院
503,辽宁地质工程职业学院
504,辽宁铁道职业技术学院
505,辽宁建筑职业学院
506,大连航运职业技术学院
507,大连装备制造职业技术学院
508,大连汽车职业技术学院
509,辽宁现代服务职业技术学院
510,辽宁冶金职业技术学院
511,辽宁工程职业学院
512,辽宁城市建设职业技术学院
513,辽宁医药职业学院
514,铁岭卫生职业学院
515,沈阳北软信息职业技术学院
516,辽宁政法职业学院
517,辽宁民族师范高等专科学校
518,辽宁轻工职业学院
519,辽宁特殊教育师范高等专科学校
520,辽宁师范高等专科学校
521,鞍山职业技术学院
522,吉林大学
523,延边大学
524,长春理工大学
525,东北电力大学
526,长春工业大学
527,吉林建筑大学
528,吉林化工学院
529,吉林农业大学
530,长春中医药大学
531,东北师范大学
532,北华大学
533,通化师范学院
534,吉林师范大学
535,吉林工程技术师范学院
536,长春师范大学
537,白城师范学院
538,吉林财经大学
539,吉林体育学院
540,吉林艺术学院
541,吉林外国语大学
542,吉林工商学院
543,长春工程学院
544,吉林农业科技学院
545,吉林警察学院
546,长春大学
547,长春光华学院
548,长春工业大学人文信息学院
549,长春电子科技学院
550,长春财经学院
551,吉林建筑科技学院
552,长春建筑学院
553,长春科技学院
554,吉林动画学院
555,吉林师范大学博达学院
556,长春大学旅游学院
557,长春人文学院
558,吉林医药学院
559,长春师范高等专科学校
560,辽源职业技术学院
561,四平职业大学
562,长春汽车工业高等专科学校
563,长春金融高等专科学校
564,长春医学高等专科学校
565,吉林交通职业技术学院
566,长春东方职业学院
567,吉林司法警官职业学院
568,吉林电子信息职业技术学院
569,吉林工业职业技术学院
570,吉林工程职业学院
571,长春职业技术学院
572,白城医学高等专科学校
573,长春信息技术职业学院
574,松原职业技术学院
575,吉林铁道职业技术学院
576,白城职业技术学院
577,长白山职业技术学院
578,吉林科技职业技术学院
579,延边职业技术学院
580,吉林城市职业技术学院
581,吉林职业技术学院
582,吉林水利电力职业学院
583,长春健康职业学院
584,长春早期教育职业学院
585,梅河口康美职业技术学院
586,吉林通用航空职业技术学院
587,通化医药健康职业学院
588,黑龙江大学
589,哈尔滨工业大学
590,哈尔滨理工大学
591,哈尔滨工程大学
592,黑龙江科技大学
593,东北石油大学
594,佳木斯大学
595,黑龙江八一农垦大学
596,东北农业大学
597,东北林业大学
598,哈尔滨医科大学
599,黑龙江中医药大学
600,牡丹江医学院
601,哈尔滨师范大学
602,齐齐哈尔大学
603,牡丹江师范学院
604,哈尔滨学院
605,大庆师范学院
606,绥化学院
607,哈尔滨商业大学
608,哈尔滨体育学院
609,哈尔滨金融学院
610,齐齐哈尔医学院
611,黑龙江工业学院
612,黑龙江东方学院
613,哈尔滨信息工程学院
614,黑龙江工程学院
615,齐齐哈尔工程学院
616,黑龙江外国语学院
617,黑龙江财经学院
618,哈尔滨石油学院
619,黑龙江工商学院
620,哈尔滨远东理工学院
621,哈尔滨剑桥学院
622,黑龙江工程学院昆仑旅游学院
623,哈尔滨广厦学院
624,哈尔滨华德学院
625,黑河学院
626,哈尔滨音乐学院
627,齐齐哈尔高等师范专科学校
628,伊春职业学院
629,牡丹江大学
630,黑龙江职业学院
631,黑龙江建筑职业技术学院
632,黑龙江艺术职业学院
633,大庆职业学院
634,黑龙江林业职业技术学院
635,黑龙江农业职业技术学院
636,黑龙江农业工程职业学院
637,黑龙江农垦职业学院
638,黑龙江司法警官职业学院
639,鹤岗师范高等专科学校
640,哈尔滨电力职业技术学院
641,哈尔滨铁道职业技术学院
642,大兴安岭职业学院
643,黑龙江农业经济职业学院
644,哈尔滨职业技术学院
645,哈尔滨传媒职业学院
646,黑龙江生物科技职业学院
647,黑龙江商业职业学院
648,黑龙江公安警官职业学院
649,哈尔滨城市职业学院
650,黑龙江农垦科技职业学院
651,黑龙江旅游职业技术学院
652,黑龙江三江美术职业学院
653,黑龙江生态工程职业学院
654,黑龙江能源职业学院
655,七台河职业学院
656,黑龙江民族职业学院
657,大庆医学高等专科学校
658,黑龙江交通职业技术学院
659,哈尔滨应用职业技术学院
660,黑龙江幼儿师范高等专科学校
661,哈尔滨科学技术职业学院
662,佳木斯职业学院
663,黑龙江护理高等专科学校
664,齐齐哈尔理工职业学院
665,哈尔滨幼儿师范高等专科学校
666,黑龙江冰雪体育职业学院
667,哈尔滨北方航空职业技术学院
668,复旦大学
669,同济大学
670,上海交通大学
671,华东理工大学
672,上海理工大学
673,上海海事大学
674,东华大学
675,上海电力大学
676,上海应用技术大学
677,上海健康医学院
678,上海海洋大学
679,上海中医药大学
680,华东师范大学
681,上海师范大学
682,上海外国语大学
683,上海财经大学
684,上海对外经贸大学
685,上海海关学院
686,华东政法大学
687,上海体育学院
688,上海音乐学院
689,上海戏剧学院
690,上海大学
691,上海公安学院
692,上海工程技术大学
693,上海立信会计金融学院
694,上海电机学院
695,上海杉达学院
696,上海政法学院
697,上海第二工业大学
698,上海商学院
699,上海立达学院
700,上海建桥学院
701,上海兴伟学院
702,上海中侨职业技术大学
703,上海视觉艺术学院
704,上海外国语大学贤达经济人文学院
705,上海师范大学天华学院
706,上海科技大学
707,上海纽约大学
708,上海旅游高等专科学校
709,上海东海职业技术学院
710,上海工商职业技术学院
711,上海出版印刷高等专科学校
712,上海行健职业学院
713,上海城建职业学院
714,上海交通职业技术学院
715,上海海事职业技术学院
716,上海电子信息职业技术学院
717,上海震旦职业学院
718,上海民远职业技术学院
719,上海欧华职业技术学院
720,上海思博职业技术学院
721,上海工艺美术职业学院
722,上海济光职业技术学院
723,上海工商外国语职业学院
724,上海科学技术职业学院
725,上海农林职业技术学院
726,上海邦德职业技术学院
727,上海电影艺术职业学院
728,上海中华职业技术学院
729,上海工会管理职业学院
730,上海民航职业技术学院
731,上海南湖职业技术学院
732,南京大学
733,苏州大学
734,东南大学
735,南京航空航天大学
736,南京理工大学
737,江苏科技大学
738,中国矿业大学
739,南京工业大学
740,常州大学
741,南京邮电大学
742,河海大学
743,江南大学
744,南京林业大学
745,江苏大学
746,南京信息工程大学
747,南通大学
748,盐城工学院
749,南京农业大学
750,南京医科大学
751,徐州医科大学
752,南京中医药大学
753,中国药科大学
754,南京师范大学
755,江苏师范大学
756,淮阴师范学院
757,盐城师范学院
758,南京财经大学
759,江苏警官学院
760,南京体育学院
761,南京艺术学院
762,苏州科技大学
763,常熟理工学院
764,南京工业职业技术大学
765,淮阴工学院
766,常州工学院
767,扬州大学
768,三江学院
769,南京工程学院
770,南京审计大学
771,南京晓庄学院
772,江苏理工学院
773,江苏海洋大学
774,徐州工程学院
775,南京特殊教育师范学院
776,南通理工学院
777,南京森林警察学院
778,东南大学成贤学院
779,泰州学院
780,无锡太湖学院
781,金陵科技学院
782,中国矿业大学徐海学院
783,南京大学金陵学院
784,南京理工大学紫金学院
785,南京航空航天大学金城学院
786,南京传媒学院
787,南京理工大学泰州科技学院
788,南京师范大学泰州学院
789,南京工业大学浦江学院
790,南京师范大学中北学院
791,南京医科大学康达学院
792,南京中医药大学翰林学院
793,无锡学院
794,苏州城市学院
795,苏州大学应用技术学院
796,苏州科技大学天平学院
797,江苏大学京江学院
798,扬州大学广陵学院
799,江苏师范大学科文学院
800,南京邮电大学通达学院
801,南京财经大学红山学院
802,江苏科技大学苏州理工学院
803,常州大学怀德学院
804,南通大学杏林学院
805,南京审计大学金审学院
806,宿迁学院
807,江苏第二师范学院
808,西交利物浦大学
809,昆山杜克大学
810,盐城幼儿师范高等专科学校
811,苏州幼儿师范高等专科学校
812,明达职业技术学院
813,无锡职业技术学院
814,江苏建筑职业技术学院
815,江苏工程职业技术学院
816,苏州工艺美术职业技术学院
817,连云港职业技术学院
818,镇江市高等专科学校
819,南通职业大学
820,苏州职业大学
821,沙洲职业工学院
822,扬州市职业大学
823,连云港师范高等专科学校
824,江苏经贸职业技术学院
825,九州职业技术学院
826,硅湖职业技术学院
827,泰州职业技术学院
828,常州信息职业技术学院
829,江苏联合职业技术学院
830,江苏海事职业技术学院
831,应天职业技术学院
832,无锡科技职业学院
833,江苏医药职业学院
834,扬州环境资源职业技术学院
835,南通科技职业学院
836,苏州经贸职业技术学院
837,苏州工业职业技术学院
838,苏州托普信息职业技术学院
839,苏州卫生职业技术学院
840,无锡商业职业技术学院
841,江苏航运职业技术学院
842,南京交通职业技术学院
843,江苏电子信息职业学院
844,江苏农牧科技职业学院
845,常州纺织服装职业技术学院
846,苏州农业职业技术学院
847,苏州工业园区职业技术学院
848,太湖创意职业技术学院
849,炎黄职业技术学院
850,南京科技职业学院
851,正德职业技术学院
852,钟山职业技术学院
853,无锡南洋职业技术学院
854,江南影视艺术职业学院
855,金肯职业技术学院
856,常州工业职业技术学院
857,常州工程职业技术学院
858,江苏农林职业技术学院
859,江苏食品药品职业技术学院
860,建东职业技术学院
861,南京铁道职业技术学院
862,徐州工业职业技术学院
863,江苏信息职业技术学院
864,宿迁职业技术学院
865,南京信息职业技术学院
866,江海职业技术学院
867,常州机电职业技术学院
868,江阴职业技术学院
869,无锡城市职业技术学院
870,无锡工艺职业技术学院
871,金山职业技术学院
872,苏州健雄职业技术学院
873,盐城工业职业技术学院
874,江苏财经职业技术学院
875,扬州工业职业技术学院
876,苏州百年职业学院
877,昆山登云科技职业学院
878,南京视觉艺术职业学院
879,江苏城市职业学院
880,南京城市职业学院
881,南京机电职业技术学院
882,苏州高博软件技术职业学院
883,南京旅游职业学院
884,江苏卫生健康职业学院
885,苏州信息职业技术学院
886,宿迁泽达职业技术学院
887,苏州工业园区服务外包职业学院
888,徐州幼儿师范高等专科学校
889,徐州生物工程职业技术学院
890,江苏商贸职业学院
891,南通师范高等专科学校
892,扬州中瑞酒店职业学院
893,江苏护理职业学院
894,江苏财会职业学院
895,江苏城乡建设职业学院
896,江苏航空职业技术学院
897,江苏安全技术职业学院
898,江苏旅游职业学院
899,浙江大学
900,杭州电子科技大学
901,浙江工业大学
902,浙江理工大学
903,浙江海洋大学
904,浙江农林大学
905,温州医科大学
906,浙江中医药大学
907,浙江师范大学
908,杭州师范大学
909,湖州师范学院
910,绍兴文理学院
911,台州学院
912,温州大学
913,丽水学院
914,浙江工商大学
915,嘉兴学院
916,中国美术学院
917,中国计量大学
918,浙江万里学院
919,浙江科技学院
920,宁波工程学院
921,浙江水利水电学院
922,浙江财经大学
923,浙江警察学院
924,衢州学院
925,宁波大学
926,浙江传媒学院
927,浙江树人学院
928,浙江越秀外国语学院
929,宁波财经学院
930,浙大城市学院
931,浙大宁波理工学院
932,杭州医学院
933,浙江广厦建设职业技术大学
934,浙江工业大学之江学院
935,浙江师范大学行知学院
936,宁波大学科学技术学院
937,杭州电子科技大学信息工程学院
938,浙江理工大学科技与艺术学院
939,浙江农林大学暨阳学院
940,温州医科大学仁济学院
941,浙江中医药大学滨江学院
942,杭州师范大学钱江学院
943,湖州学院
944,绍兴文理学院元培学院
945,温州理工学院
946,浙江工商大学杭州商学院
947,嘉兴南湖学院
948,中国计量大学现代科技学院
949,浙江财经大学东方学院
950,温州商学院
951,同济大学浙江学院
952,上海财经大学浙江学院
953,浙江外国语学院
954,浙江音乐学院
955,西湖大学
956,浙江药科职业大学
957,宁波诺丁汉大学
958,温州肯恩大学
959,宁波职业技术学院
960,温州职业技术学院
961,浙江交通职业技术学院
962,金华职业技术学院
963,宁波城市职业技术学院
964,浙江电力职业技术学院
965,浙江同济科技职业学院
966,浙江工商职业技术学院
967,台州职业技术学院
968,浙江工贸职业技术学院
969,浙江机电职业技术学院
